Hotel Name,Gross Price,Check-in Date,Check-out Date,Photo URL
Fabhotel Glorify Palace - Nr Mumbai International Airport,1523.78,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/502546502.jpg?k=ececd54152493f460a1b1827174df0c8722b5e8acce8d44d00312482c0d2b09d&o=
FabHotel Atithi Residency I - Nr BKC,2005.69,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/608801802.jpg?k=7c0dfb160b588ad23159927c2c9db5305b9276c2af5ba3ea40e0b5628b2072c0&o=
FabExpress Embassy Suites - Nr BKC,2436.83,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/496544709.jpg?k=f699b11514de7ee0aaef425c6c07d89fa661382f4381f746ffcb52c327c2466c&o=
FabExpress Abad Inn - 700m from Gateway of India,3120.03,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/516480525.jpg?k=5dcba7821b0279c5d6121edf06f7fdc2b54c6fcf2e132b12376624df63dfa8d5&o=
Hotel Linkway,3200.0,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/162282985.jpg?k=8442c7cc0bfdd20c0d7f92e11aa6dbf52e8b3836565582fb6514f212aa2778a8&o=
Hotel Oriental Aster - Mumbai International Airport,3499.0,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/342883399.jpg?k=e2713955a2bcb82f59cb344396d359f1385a6454213a3bdd62be5f80c25ac283&o=
Hotel Bawa Continental,4500.0,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/189285663.jpg?k=15330f682a23ad9108f47c8d9fd7aacf7be7d034a8bd9ea55f3a19ff7b6f55dd&o=
Hotel Supreme Comforts - Mumbai Airport,4824.0,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/552329171.jpg?k=ce23f06838e4d9c80326318ea35dbec354572826c22ade92f164dcfc642746ae&o=
Treebo Premium Heritage Grand -Majiwada Thane,4946.72,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/529909515.jpg?k=4ecf16852e1698bd0b1c3f5fcfdf466832220b7907fdb5898eb4a2701f9c5ede&o=
Hotel Bawa International,5250.0,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/78990736.jpg?k=cdb04312c74ae6aa517f7ae9547755a76956c114bfd5d849336db3b26173587b&o=
Hotel Kemps Corner,6480.0,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/235826396.jpg?k=c6e78fb2af150f8a4b34509dc5472f3708b3cb32455cfab3f2ba893a349a41c2&o=
The Fern - Goregaon,7643.22,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/137667332.jpg?k=4fdff1cd4db6fef601e1273b06cc8c18cd4b6332aee61a0027c8ba44f7213273&o=
The Resort,9736.55,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/550249154.jpg?k=2d296f157c541e17ef5c3768c17e99005b72384640971cc6adb118d1402d0963&o=
Sun-n-Sand Mumbai Juhu Beach,10000.0,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/235613794.jpg?k=426ad3160a8fd9153c2f53df8b71678e4ae4ad64990ac0b5da7e5bdd4fc42f2e&o=
Taj Santacruz,10250.0,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/125011716.jpg?k=a11b2cf7938b3214652ec26dbe0a51850850e41270bf9a43e986e3d3de848748&o=
Taj Lands End,11000.0,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/13800549.jpg?k=2239f273986987fa71ef3c94ab6f127feb2b859ab63f057980c074689c62c04c&o=
Trident Bandra Kurla,11750.0,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/33034375.jpg?k=ebad21bc68081acf90d3fc69b50bc8a713a60df7eb219351be8ca0e409473758&o=
"The Taj Mahal Tower, Mumbai",14400.0,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/31204963.jpg?k=90c11832231c37a814e9631123bd28820e8ad8cd983b78ad529ea139791653d1&o=
Trident Nariman Point,15500.0,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/604298804.jpg?k=cce8e6992a6c78904e7a67b9611da9a34ed490aada9e82aa865b70f308200755&o=
The Oberoi Mumbai,23000.0,2024-12-23,2024-12-24,https://cf.bstatic.com/xdata/images/hotel/square500/622849634.jpg?k=99d6284ec85b32ccc3f3599b13e0bff801e867a6d5d3dcdfc13cca713da60844&o=
